poly_id;2019-11-_1;2019-11-_2;2019-11-_3;PARVoo1;PARVoo2;PARVoo3;PARVoo4;;;
0;16638.400390625;15715.2666015625;12605.107421875;1630;1121;1442;735;;;
0;16668.119140625;15648.7861328125;12721.9638671875;1630;1121;1442;735;;;
0;16697.283203125;15625.4482421875;12873.8349609375;1630;1121;1442;735;;;
0;16862.728515625;15796.3203125;13112.134765625;1630;1121;1442;735;;;
0;17023.55078125;16175.1630859375;13319.8662109375;1630;1121;1442;735;;;
0;17531.3203125;16830.603515625;13672.6005859375;1630;1121;1442;735;;;
0;18538.80859375;17708.79296875;14344.03515625;1630;1121;1442;735;;;
0;18145.1484375;17408.232421875;13707.0673828125;1630;1121;1442;735;;;
0;16761.93359375;16236.5810546875;12015.693359375;1630;1121;1442;735;;;
0;16095.5751953125;15683.068359375;11026.5498046875;1630;1121;1442;735;;;
